Question_Number,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Handbook_Reference
1,"To get your vehicle out of a skid, you should first:","Steer straight ahead","Steer in the opposite direction of the skid","Steer in the direction you want to go","Apply brakes hard",C,"Chapter 4 - Safe and Responsible Driving"
2,"When may you lend your driver's licence?","In emergencies","To a person learning to drive","It is not permitted","For identification purposes",C,"Chapter 2 - Your Driver's Licence"
3,"What must a driver do before entering a highway from a private road or driveway?","Enter or cross the highway as quickly as possible","Yield right-of-way to all vehicles approaching on the highway","Sound horn and proceed with caution","Give hand signal then take right-of-way",B,"Chapter 5 - Traffic Laws"
4,"Never change lanes in traffic without:","Looking in the rear view mirror only","Giving proper signal and looking to make sure the move can be made safely","Blowing your horn and looking to the rear","Decreasing speed and giving correct signal",B,"Chapter 5 - Traffic Laws"
5,"When the driver of another vehicle is about to overtake and pass your vehicle, you must:","Speed up so that passing is not necessary","Move to the left to prevent passing","Signal to the other driver not to pass","Move to the right and allow such vehicle to pass",D,"Chapter 5 - Traffic Laws"
6,"When you are deciding whether or not to make a U-turn, your first consideration should be to check:","Traffic regulations","Presence of trees, fire hydrants or poles near the curb","Turning radius of your car","Height of curb",A,"Chapter 5 - Traffic Laws"
7,"It is more dangerous to drive at the maximum speed limit at night than during daytime as:","Your reaction time is slower at night","You cannot see as far ahead at night","Some drivers unlawfully drive with parking lights only","The roadways are more apt to be slippery at night",B,"Chapter 4 - Safe and Responsible Driving"
8,"You should under all conditions drive at a speed which will allow you to:","Stop within 150 metres (500 feet)","Stop within 90 metres (300 feet)","Stop within 60 metres (200 feet)","Stop within a safe distance",D,"Chapter 4 - Safe and Responsible Driving"
9,"What does a solid yellow line on your side of the center line mean?","You may pass if the way is clear","You may not cross the line to pass","You may pass only on hills","You may pass only motorcycles",B,"Chapter 5 - Traffic Laws"
10,"When approaching a railway crossing, you must:","Stop at least 5 metres from the nearest rail","Always come to a complete stop","Sound your horn and proceed","Look both ways and proceed if clear",D,"Chapter 5 - Traffic Laws"
11,"A red traffic light means:","Slow down and proceed with caution","Stop, then proceed when safe","Come to a complete stop","Stop if you can do so safely",C,"Chapter 5 - Traffic Laws"
12,"The maximum speed limit in cities, towns, villages and built-up areas is:","40 km/h","50 km/h","60 km/h","70 km/h",B,"Chapter 5 - Traffic Laws"
13,"On a highway with no posted speed limit, the maximum speed is:","80 km/h","90 km/h","100 km/h","110 km/h",A,"Chapter 5 - Traffic Laws"
14,"What is the minimum following distance on dry pavement?","1 second","2 seconds","3 seconds","4 seconds",C,"Chapter 4 - Safe and Responsible Driving"
15,"When must you use headlights?","Only at night","From sunset to sunrise","From one-half hour before sunset to one-half hour after sunrise","Only in bad weather",C,"Chapter 4 - Safe and Responsible Driving"
16,"What does a flashing red light mean?","Slow down","Come to a complete stop","Proceed with caution","Stop if safe to do so",B,"Chapter 5 - Traffic Laws"
17,"At what age must children use a booster seat?","Under 8 years and weighing less than 36 kg","Under 9 years and weighing less than 36 kg","Under 8 years and weighing less than 40 kg","Under 9 years and weighing less than 40 kg",A,"Chapter 4 - Safe and Responsible Driving"
18,"What is the blood alcohol limit for drivers under 21?","0.08%","0.05%","0.02%","Zero",D,"Chapter 4 - Safe and Responsible Driving"
19,"What is the blood alcohol limit for fully licensed drivers?","0.08%","0.05%","0.02%","Zero",B,"Chapter 4 - Safe and Responsible Driving"
20,"When parking uphill with a curb, which way should you turn your wheels?","Away from the curb","Toward the curb","Straight ahead","It doesn't matter",A,"Chapter 6 - Parking"
21,"When parking downhill with a curb, which way should you turn your wheels?","Away from the curb","Toward the curb","Straight ahead","It doesn't matter",B,"Chapter 6 - Parking"
22,"How far from a fire hydrant must you park?","3 metres","5 metres","9 metres","15 metres",C,"Chapter 6 - Parking"
23,"How close to a stop sign may you park?","3 metres","5 metres","9 metres","15 metres",C,"Chapter 6 - Parking"
24,"What should you do when you see a pedestrian with a white cane?","Sound your horn","Slow down","Stop and yield right-of-way","Flash your lights",C,"Chapter 8 - Sharing the Road"
25,"When turning left at an intersection, you must yield to:","Pedestrians only","Oncoming traffic only","Both pedestrians and oncoming traffic","No one",C,"Chapter 5 - Traffic Laws"
26,"A school bus is stopped with red lights flashing. You must:","Stop at least 20 metres back","Slow down and pass carefully","Stop and wait until lights stop flashing","Sound horn and pass quickly",C,"Chapter 8 - Sharing the Road"
27,"What does a yield sign mean?","Stop completely","Slow down and proceed if safe","Give right-of-way to all traffic","Merge carefully",C,"Chapter 5 - Traffic Laws"
28,"When are you allowed to use a handheld device while driving?","Never","Only for GPS","Only for emergency calls","When stopped at a red light",A,"Chapter 4 - Safe and Responsible Driving"
29,"What is the penalty for street racing?","Fine only","Licence suspension only","Both fine and licence suspension","Imprisonment only",C,"Chapter 9 - Penalties"
30,"How long is a G1 licence valid?","3 years","5 years","7 years","10 years",B,"Chapter 2 - Your Driver's Licence"
31,"With a G1 licence, what is your blood alcohol limit?","0.08%","0.05%","0.02%","Zero",D,"Chapter 2 - Your Driver's Licence"
32,"With a G1 licence, when can you drive on 400-series highways?","Never","Only with an instructor","Only during the day","Anytime",B,"Chapter 2 - Your Driver's Licence"
33,"What does a broken white line mean?","No passing","Passing allowed when safe","Lane change prohibited","Two-way traffic",B,"Chapter 5 - Traffic Laws"
34,"What does a solid white line mean?","Passing prohibited","Lane changes discouraged","Carpool lane boundary","Parking area",B,"Chapter 5 - Traffic Laws"
35,"When must you dim your headlights?","Within 150 metres of oncoming traffic","Within 60 metres of the vehicle you're following","Both A and B","Only in the city",C,"Chapter 4 - Safe and Responsible Driving"
